Secondary Subject,Level,School Equity Index Group,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Agribusiness,Level 2,More,2023,5,70,0.006,0,0,89,0.303,0.337,0.135,0.225,27,30,12,20,
Agribusiness,Level 2,More,2024,6,110,0.008,0,0,153,0.366,0.386,0.105,0.144,56,59,16,22,
Agribusiness,Level 3,Fewer,2019,16,425,0.025,0,0,762,0.157,0.34,0.261,0.241,120,259,199,184,
Agribusiness,Level 3,Fewer,2020,19,484,0.029,0,0,866,0.178,0.288,0.264,0.27,154,249,229,234,
Agribusiness,Level 3,Fewer,2021,15,383,0.022,0,0,637,0.094,0.328,0.314,0.264,60,209,200,168,
Agribusiness,Level 3,Fewer,2022,13,282,0.017,0,0,587,0.15,0.31,0.237,0.303,88,182,139,178,
Agribusiness,Level 3,Fewer,2023,16,367,0.023,0,0,785,0.12,0.304,0.278,0.298,94,239,218,234,
Agribusiness,Level 3,Fewer,2024,18,401,0.023,0,0,934,0.079,0.288,0.332,0.301,74,269,310,281,
Agribusiness,Level 3,Moderate,2019,30,426,0.016,0,0,635,0.208,0.367,0.23,0.195,132,233,146,124,
Agribusiness,Level 3,Moderate,2020,31,550,0.021,0,0,837,0.229,0.258,0.253,0.259,192,216,212,217,
Agribusiness,Level 3,Moderate,2021,41,568,0.022,0,0,911,0.217,0.328,0.24,0.214,198,299,219,195,
Agribusiness,Level 3,Moderate,2022,37,598,0.023,0,0,1069,0.255,0.261,0.25,0.234,273,279,267,250,
Agribusiness,Level 3,Moderate,2023,40,651,0.026,0,0,1113,0.198,0.35,0.244,0.208,220,389,272,232,
Agribusiness,Level 3,Moderate,2024,46,845,0.03,0,0,1350,0.153,0.377,0.281,0.189,207,509,379,255,
Agribusiness,Level 3,More,2019,4,41,0.005,0,0,76,0.197,0.434,0.316,0.053,15,33,24,4,
Agribusiness,Level 3,More,2020,7,94,0.013,0,0,157,0.28,0.439,0.146,0.134,44,69,23,21,
Agribusiness,Level 3,More,2021,6,68,0.009,0,0,83,0.325,0.398,0.169,0.108,27,33,14,9,
Agribusiness,Level 3,More,2022,7,90,0.012,0,0,144,0.285,0.479,0.146,0.09,41,69,21,13,
Agribusiness,Level 3,More,2023,6,75,0.01,0,0,120,0.167,0.408,0.283,0.142,20,49,34,17,
Agribusiness,Level 3,More,2024,6,63,0.007,0,0,111,0.27,0.342,0.162,0.225,30,38,18,25,
Agricultural and Horticultural Science,Level 1,Fewer,2019,17,554,0.025,274,0.017,1793,0.109,0.316,0.288,0.287,196,566,517,514,
